start_frame,end_frame,num_frames,start_time,end_time
7907,7925,19,05:29,05:30
7945,7987,43,05:31,05:32
8469,8483,15,05:52,05:53
8647,8663,17,06:00,06:00
9957,9977,21,06:54,06:55
10004,10009,6,06:56,06:57
10028,10032,5,06:57,06:58
10069,10073,5,06:59,06:59
11347,11353,7,07:52,07:53
11362,11400,39,07:53,07:55
13525,13536,12,09:23,09:24
16696,16703,8,11:35,11:35
17229,17242,14,11:57,11:58
18043,18061,19,12:31,12:32
18070,18128,59,12:32,12:35
18136,18140,5,12:35,12:35
20846,20876,31,14:28,14:29
20884,20896,13,14:30,14:30
20904,20908,5,14:31,14:31
23843,23869,27,16:33,16:34
36502,36525,24,25:20,25:21
36621,36630,10,25:25,25:26
