title	chapter	start_mm:ss	end_mm:ss	is_war_report	is_combat_scene	german_soldiers_depicted	shot_count	content	audio_transcription	filestem	episode	year	start	end	start_frame	end_frame
Die Deutsche Wochenschau Nr. 511 / 1940	1	00:46	02:13	True	True	True	16.0	1. Luftkrieg über Le Havre, Frankreich, 1940 Nachtangriffe deutscher Fliegerverbände (Heinkel He 111) auf Le Havre an der Seine. Die Besatzung in den Bombern. Brennende Hafenanlagen Le Havres, Luftaufnahme von feindlichem Flugabwehrkanonen (Flak)-Feuer. Das Innere des Bombers. Tagesangriffe auf flüchtende englisch-französische Transportflotte durch Sturzkampfflugzeuge (Stuka Junkers Ju 87) auf dem Ärmelkanal. Bombardierung von Verkehrsknotenpunkten. Anflug eines Stuka auf Bahnanlagen, Einschläge in den Bahnanlagen.	Der Reich ist in voller Schärfe entbrannt. Wieder stürmen die Geschwader unserer Luftwaffe den Erdgruppen voraus. Wieder werden die Sammelpunkte des Feindes, seine Aufmachstraßen, Flughäfen und verteidigten Städte angegriffen. Die Verbindungen im Hinterlande sollen vernichtet und stärkere Gegenwirkungen im Keime erstickt werden. Nächtlicher Angriff auf Le Ava. Die Feinds sind schwer getroffen. Überall brennt es lichterloh. Der Feind fühlt sich hier bereits geschlagen. Er versucht, wie schon in Dünkirchen, die Flucht über den Kanal zu ergreifen. Aber unsere Stukas sind schnell zur Stelle. Sie stoßen immer wieder auf die englisch-französische Transportflotte nieder. Flucht wird unmöglich gemacht. Andere Verbände operieren über Land und bombardieren fast pausenlos die militärischen Anlagen und Eisenbahnknotenpunkte des Feindes.	511_1940	511	1940	46000.0	133000.0	1150.0	3325.0
Die Deutsche Wochenschau Nr. 511 / 1940	2	02:46	03:49	True	True	True	11.0	2. Einmarsch in Amiens, Frankreich, 1940 Kartentrick von Nordfrankreich: Vorstoß des deutschen Heeres. Nordfranzösische Städte Le Havre, Rouen, Amiens und Saint Valery sind zu erkennen. Pfeile verdeutlichen die Strategie und das weitere Vorgehen des vorstoßenden, rechten Flügels des deutschen Heeres. Mit Fahrzeugen einfahrende deutsche Soldaten. Zerstörte Häuser, unzerstörte Kathedrale (Notre dame d'Amiens) in ausgebombter Umgebung; Bahnhof Amiens, deutsche Soldaten auf dem Vorplatz. Motorisierte leichte 2 cm Flak, motorisierte schwere Feldhaubitze (15 cm sFH 18) und leichte Panzerabwehrkanone (3,7 cm PaK 36) auf einer Landstraße. Deutsche Infanterie beim Einmarschieren in eine Ortschaft.	Bombe für Bombe trifft ihr Ziel. Der rechte Flügel des Heeres eröffnete die neue Offensive von Amiens aus. Er stieß links der Küste gegen die untere Szene, gegen Rouen und Le Ava vor. Durch Amiens vorüber an der Kathedrale, die in den Kämpfen völlig unversehrt geblieben ist, rollt der Nachschub. Die Generalrichtung ist Südwest. Weit auseinandergezogen rückt die Infanterie vor.	511_1940	511	1940	166000.0	229000.0	4150.0	5725.0
Die Deutsche Wochenschau Nr. 511 / 1940	3	03:51	04:34	True	False	True	9.0	3. Einmarsch in Oisemont, Frankreich, 1940 Bahnanlagen; Brennende Tanks einer Spritfabrik. Abgeschossener feindlicher Panzer; Bahnhofsgelände. Fabrik mit Mühle im Hintergrund, ausfließendes Benzin aus einem Tank. Brennender französischer Bauernhof; Innenhof; Ferkel; ein Jauchewagen. Eine Kuhweide; das Vieh wird zusammengetrieben und gemolken. Deutsche Soldaten beim Tränken von Kälbern.	In Oase-Mont hat der Gegner die Tanks einer großen Spritbrennerei in Brand gesetzt. All sieht man die Spuren des geflohenen Feindes, der nichts unzerstört in die Hände der deutschen Truppen fallen lassen will. Das Vieh, das auf den Feldern umherirrt, wird von Sonderkommandos zusammengetrieben. Die Kühe sind mehrere Tage nicht gemolken worden.	511_1940	511	1940	231000.0	274000.0	5775.0	6850.0
Die Deutsche Wochenschau Nr. 511 / 1940	4	05:08	09:01	True	True	True	44.0	4. Überquerung der Somme und Angriffe im Sommegebiet, Frankreich, 1940 Eine Abteilung unter dem Kommando von Generaloberst von Bock hat am 05.06.1940 an der unteren Somme und am Oise-Aisne-Kanal angegriffen. Getarnte deutsche Artillerieprotzen überqueren einen Bach. Die Weygand-Linie steht unter Beschuss durch leichte Feldhaubitzen (10,5 cm leFH 18) aus dem Schutz eines Waldstückes. Auf den Einsatzbefehl wartend, versteckt sich eine deutsche Infanterieeinheit in Gräben an einer Landstraße, umsäumt von Apfelbäumen. Leichtes Infanteriegeschütz (7,5 cm leIG 18) in einem Gebüsch versteckt; aufgefahrene leichte PaK zum Schutz vor feindlichen Panzern. Weit auseinandergezogene deutsche Infanterie geht in unübersichtlichem Gelände vor. Artillerieeinschläge; deutschen Artilleriestellungen (leIG 18), leichte PaK, Beobachter, Soldaten beim Laden und Feuern der Geschütze. Schwere 8,8 cm Flak, abgeschossene französische Panzer (SOMUA S35 und Char B1) mit zerfetzten Panzerketten; abgeschossener 72t Panzer (Char 2C). Französische gefangene Soldaten werden zurückgeführt. Motorisierte Truppen überqueren die Brücke mit Beschilderung: „Le Canal de la Somme“. Gefangene französische Infanteristen werden von deutschen Soldaten abgeführt. Marschkolonne gefangener französischer Soldaten. Flugzeuge und ein Zeppelin am Himmel. Französische Marschkolonne auf einer Straßenseite, auf der anderen Vorrücken einer bespannten deutschen Trosseinheit. Gefangenensammelplatz in einer französischen Stadt. Panzertruppen mit Panzer 38(t) auf einer französischen Dorfstraße. Zerstörte Gebäude und Lichtleitungen. Motorisierte Artillerieeinheiten mit leFH 18, motorisiertes Zwillings-Maschinengewehr (MG) als Flak. Leichte PaK als Seitensicherung für marschierende deutsche Infanterie. Artilleriebeobachter mit Feldstecher. Marschierende deutsche Infanteristen. Infanterieabteilung geht in breiter Front durch eine nichtgemähte Wiese vor. Landstraße in einer Talsenke.	Im Somme-Gebiet sind heiße Kämpfe entbrannt. Artillerieprotzen gehen zum Stellungswechsel nach vorn. Später sind die Batterien schon wieder feuerbereit. Aus hunderten von Rohren wird die Weigandlinie angegriffen und zertrümmert. Die Infanterie wartet auf den Befehl zum Einsatz. Die Infanteriegeschütze greifen ein. Fakt übernimmt die Sicherung der vorgehenden Infanterie gegen feindliche Tankangriffe. Zusammengebrochen. Lahmgeschossen liegen die schweren Kampfwagen im Gelände. Über die Somme ist erzwungen. In der Weigandlinie gefangenen Franzosen werden nach hinten abtransportiert. Immer dichter werden ihre Kolonnen. Frische deutsche Reserven ziehen an ihnen vorüber. Die Boalys sind sehr erstaunt. Denn man hatte ihnen vorgelogen, dass das deutsche Heer durch die Flandernkämpfe völlig erschöpft sei. Nun sehen sie die Wahrheit. Teilmärschen geht es wieder der Küste entgegen. Ein Parkgeschütz hat die Seitensicherung übernommen.	511_1940	511	1940	308000.0	541000.0	7700.0	13525.0
Die Deutsche Wochenschau Nr. 511 / 1940	5	09:23	10:05	True	True	True	10.0	5. Totale Zerstörung in Fécamp, Frankreich, 1940 Deutsche Beobachter auf der Zitadelle vor Fécamp, eine strategisch bedeutsame Station für die Eroberung von Le Havre. MG-Nest auf einem Hügel mit Sicht auf die Stadt. Brennende Häuser in zerstörter Innenstadt, zerstörtes feindliches Kriegsmaterial, darunter abgeschossene französische Panzerkolonne (Renault R35). 8,8 cm Flak beschießt feindliche Frachter von der felsigen Steilküste (Alabasterküste) vor Fécamp.	Fekin ist erreicht. Eine wichtige Etappe auf dem Wege nach La Hava. Der Franzose wusste, was der Verlust dieser Stadt für ihn bedeutet. Stukas mussten die Stadt erst sturmreif werfen, ehe auch hier die deutschen Truppen einrücken konnten. An der Küste sofort eingesetzte Flak beschießt einen französischen Transporter.	511_1940	511	1940	563000.0	605000.0	14075.0	15125.0
Die Deutsche Wochenschau Nr. 511 / 1940	6	10:19	10:40	True	False	True	4.0	6. Generäle und Gefangene in Saint Valery, Frankreich, 1940 Altes Hafenbecken mit Segelbooten. Stadtbilder von St. Valery-en-Caux. Deutsche Offiziere und Generäle u.a. Erwin Rommel und Richard Ruoff mit gefangenen Generälen (einem englischen und fünf französischen). Zahlreiche Gefangene marschieren aus der Stadt und liegen oder sitzen auf den Wiesen.	In Saint-Valerie. Hier wurden wesentliche Teile der französischen Nordarmee eingeschlossen und in kurzer Zeit zur Übergabe gezwungen. Ein englischer General, fünf französische Generäle und 26.000 Mann fielen unseren siegreichen Soldaten in die Hände.	511_1940	511	1940	619000.0	640000.0	15475.0	16000.0
Die Deutsche Wochenschau Nr. 511 / 1940	7	11:04	12:11	True	True	True	12.0	7. Eroberung von Le Havre, Frankreich, 1940 Deutsche Infanteristen beim Vormarsch auf einer Landstraße. Zerstörtes Material auf alliierter Rückzugsstraße. Entfernung von Minen und Beseitigung von Straßensperren. Panzer I fahren durch die Straßen. Schild an einer Landstraße: „Nr. 16, Grand Fitz James 7,5 km, Paris 75 km“; Fahrzeugkolonne; französische Soldaten liegen neben der Straße im Gras. Übergang über die untere Seine an der Nordfront, gesprengte Seine-Brücke; Truppen aller Gattungen überqueren eine Pontonbrücke auf dem Weg nach Paris.	Weiter geht es auf La Hava zu. Straßensperren und Minen werden beseitigt. Alle Kolonnen kennen nur ein Ziel, Paris. Andere starke Verbände haben sich währenddessen an die untere Seine herangearbeitet. Im Schutze von leichter Flak geht der Übergang vonstatten. Die Franzosen hatten alle Brücken restlos zerstört. In kurzer Zeit wurde jedoch von unseren Pionieren für neue feste Übergänge gesorgt. Diese Brücke hält auch bei schwerster Belastung.	511_1940	511	1940	664000.0	731000.0	16600.0	18275.0
Die Deutsche Wochenschau Nr. 511 / 1940	8	12:39	16:39	True	True	True	48.0	8. Besetzung von Rouen, Frankreich, 1940 Der historische Stadtkern mit Rathaus und Kathedrale von Rouen (Notre-Dame de Rouen). Generaloberst Günther von Kluge mit Ordonanzen vor Rouen. Rauchwolken über der Stadt und der Kathedrale. Luftaufnahmen mit der Seine. Eine Fabrikanlage; Feuernde deutsche Truppen hinter Sandsäcken; feuernde leichte PaK. Eine gesprengte Brücke über die Seine. Das Hafengelände. Vereinzelt feuernde Geschütze; einfahrender Panzer I. Brennende, einstürzende Geschäftshäuser am Marktplatz. Deutsche Soldaten bei Löscharbeiten an der Kathedrale. Liegengebliebener leichter Panzer (Renault FT-17) in den Straßen. Gefangene französische Soldaten, darunter Kolonialtruppen. Nachtaufnahmen von Rouen; die unbeschädigten Kathedrale. Das gesamte, zertrümmerte Stadtbild von einer Erhöhung aus.	Das ist Rouen, Frankreichs größter Binnenhafen. Generaloberst von Kluge bei seinen vormarschierenden Truppen. Die Franzosen verteidigten Rouen besonders zäh. Hier wurde am 30. Mai 1431 die Jungfrau von Orléans von den Engländern verbrannt. Jetzt soll sie den Franzosen gegen die Deutschen helfen. Und die Engländer beten zu ihr in ihren Kirchen. Sie wollen sogar eine Wiedergabe ihres Denkmals in einer Londoner Kathedrale aufstellen. Eine Zeitung schlug allerdings vor, sie sollten sie aus Holz machen, damit sie sie nach Bedarf wieder verbrennen können. Erbittert wird um das Hafengebett gekämpft. Hier sprengten die Franzosen eine Brücke in die Luft, ehe noch ihre eigenen Fahrzeuge das rettende Ufer erreicht hatten. Eine dicke, schwarze Wolke liegt über der Stadt. Ganze Teile von Rouen stehen in Flammen. Als die Deutschen in Rouen eindrangen, belegten die Franzosen ihre eigene Stadt mit schwerem Feuer und gefährdeten dabei auch die alte Kathedrale, die von unserer Artillerie und unseren Flugzeugen bewusst geschont worden war. Beschießung und hartnäckigen Straßenkampfes. Deutsche Soldaten greifen sofort ein, um die herrliche Kathedrale vor der Zerstörung zu bewahren. Natürlich unbeschädigt überragen jetzt die mächtigen Türme die zerstörten Häuser der Stadt. Das ist der Krieg der englisch-französischen Plutokraten, den sie leichtfertig vom Zaune brachen ohne sich über die Folgen ihrer Freveltat auch nur entfernt im Klaren zu sein. Im Schlepptau Londons und als hörige Vertreter der englischen Hetzer wollte Monsieur Renault den sinnlos gewordenen Widerstand fortsetzen um für die englischen Lords nicht nur bis zum letzten Koalü, sondern auch bis zum letzten französischen Haus und Hof zu kämpfen.	511_1940	511	1940	759000.0	999000.0	18975.0	24975.0
Die Deutsche Wochenschau Nr. 511 / 1940	9	16:50	17:16	True	False	True	8.0	9. Versorgung durch die Nationalsozialistische Volkswohlfahrt, Frankreich, 1940 Deutsche Soldaten und die Nationalsozialistische Volkswohlfahrt (NSV) bei Versorgung französischer Zivilbevölkerung mit Lebensmitteln. Französische Kinder erhalten etwas zu trinken in Kannen und warmes Essen; Brotlaibe werden an die Bevölkerung ausgegeben; französische Polizisten helfen bei der Verteilung. Lautsprecherwagen. Menschenschlange vor einer Suppenausgabe.	Wie anders dagegen dieses Bild. Kaum haben die deutschen Truppen eine Stadt hinter sich gebracht, rücken die Kolonnen der NSV heran. Sie versorgen die notleidende Bevölkerung mit Brot und warmen Essen. Diese Gebäude an Nahrungsmitteln, die unseren Truppen bei der Flucht des Feindes überall in die Hände fielen wird nun an die französische Bevölkerung verteilt.	511_1940	511	1940	1010000.0	1036000.0	25250.0	25900.0
Die Deutsche Wochenschau Nr. 511 / 1940	10	17:17	18:35	False	False	True	14.0	10. Organisation Todt bei Aufräumarbeiten und Besuch Hitlers, Frankreich, 1940 Arbeiter der Organisation Todt (OT), mit Armbinde, erledigen Aufräumarbeiten und zerkleinern Gestein und Betonklötze mit Äxten und Presslufthammer. Besuch Hitlers mit Gefolgschaft, darunter sein Adjudant Rudolf Schmundt und Reichsminister Fritz Todt in einem Arbeitslager, Soldaten umringen Hitler und grüßen mit Hitler-Salut.	Auch die Organisation Todt ist sofort zur Stelle, um die ersten Aufräumungsarbeiten zu leisten. Eine freudige Überraschung. Der Führer besucht die OT-Männer.	511_1940	511	1940	1037000.0	1115000.0	25925.0	27875.0
