chapter	content
1	1. Almabtrieb, Deutsches Reich (?), 1943. Kühe werden von Bauern und Bäuerinnen festlich geschmückt. Kuhglocke wird angelegt. Eine Sennhütte wird durch Schließen der Fensterläden symbolisch von einem Mann winterfest gemacht. Festlich geschmückte Kühe werden einen Pfad hinabgetrieben. Kinder bei den Tieren.
2	2. Reichsarbeitsdienstlager, Kärnten, annektiertes Österreich, 1943. Trompeter. Morgenappell. Junge Männer in kurzen Hosen beim Geländelauf und Gymnastik. Bekleidung wird gereinigt, Schuhe putzen. Kleiderappell. Exerzieren mit dem Spaten. Kolonnen des Reichsarbeitsdienstes marschieren vorüber.
3	3. Fußballspiel, Stuttgart, Deutsches Reich, 1943. Fußballspiel zwischen dem Luftwaffen-Sportverein Hamburg und Vienna Wien um den Tschammer-Pokal in Stuttgart. Soldaten und Verwundete als Zuschauer. Spielszenen, Zuschauerreaktionen. Alle Tore werden gezeigt (Endstand 2:3 für Wien). Die Zuschauer stürmen auf den Rasen. Siegerehrung.
4	4. Rüstungsindustrie, Berlin, Deutsches Reich, 1943. Albert Speer spricht in einem Rüstungswerk zur Hitler-Jugend und dem Bund deutscher Mädel, Marine-Gefechtsturm im Hintergrund für den Wert naturwissenschaftlicher Fächer (Sprecher, kein Originalton).
5	5. Oper, Berlin, Deutsches Reich, 1943. Reichsjugendführer Axmann spricht zur Eröffnung des ersten ‚Kriegsberufswettkampfes der deutschen Jugend‘ (Sprecher) in der Kroll-Oper in Berlin. Mädchen und Jungen füllen den Raum hinter dem Rednerpult. Axmann spricht (kein Originalton). Publikum erhebt sich zum Hitlergruß.
6	6. Besatzung, Posen, Polen, Deutsches Reich, 1943. Feier des vierten Jahrestages der Besetzung Posens durch deutsche Truppen im Jahr 1939. Reichsführer der SS Heinrich Himmler trifft ein und nimmt in Anwesenheit von Gauleiter Greiser und Korvettenkapitän Wolfang Lüth die Parade der Verbände ab. Ein Fanfarenzug der Hitlerjugend (mit S-Rune), Reichsarbeitsdienst und Soldaten marschieren vorbei.
7	7. Empfang, Neustadt/Holstein, Deutsches Reich, 1943. Empfang des Korvettenkapitäns Wolfgang Lüth in seiner Heimatstadt Neustadt/Holstein (Sprecher). Lüth fährt im offenen Wagen durch eine Straße und nimmt Blumen entgegen. Lüth begrüßt die angetretene Formation auf dem Marktplatz. Aufnahmen mit der Familie von Lüth.
8	8. Instandsetzung, Sowjetunion, 1943. Panzer werden in einer großen Halle von Waggons gehievt. Arbeiter der Organisation Todt reparieren Motoren, Ketten etc. von Panzern (Sprecher). Ein Panzer ohne Seitenschürzen wird im Feld abgeschleppt. Der Geschützturm wird in einer improvisierten Werkstatt unter freiem Himmel abgenommen. Schweißarbeiten. Ein Panzer mit Seitenschürzen fährt ab.
9	9. Besatzung, Tirana, Albanien, 1943. Zusammentritt der albanischen Nationalversammlung, 1943 In der Hauptstadt Tirana tritt die albanische Nationalversammlung unter der deutschen Besatzung im ehemaligen Königsschloss zusammen. Einige Mitglieder der neuen Regierung und Zuschauer in typischer Landestracht.
10	10. Partisanen, Bosnien, Jugoslawien, 1943. Deutscher Bomber, am Boden Explosionen in einer Siedlung. Rauchsäulen. Bomberbesatzung im Cockpit. Beschießung eines brennenden Dorfes (Aufnahmen aus dem Flugzeug). Artillerie und Infanterie beschießen Stellungen am Fluss Save. Kavallerie reitet über Wiesen. Deutsche Infanterie in einer brennenden Siedlung. Eindringen in Häuser und Abführen von Menschen. Ein Mann, bei dem mutmaßlich ein Schlagring gefunden wurde, wird befragt. Gefangenenkolonne und Kavallerie.
