filestem	chapter	frame	content_class	content_sim_score	shot_scale_class	shot_scale_sim_score
511_1940	1	1189	war machinery	0.175	Long Shot	0.184
511_1940	1	1202	war machinery	0.17	Long Shot	0.192
511_1940	1	1222	war machinery	0.147	Close-up	0.181
511_1940	1	1286	individual	0.128	Long Shot	0.159
511_1940	1	1287	individual	0.131	Long Shot	0.151
511_1940	1	1360	individual	0.217	Close-up	0.209
511_1940	1	1362	individual	0.222	Close-up	0.207
511_1940	1	1413	civilians	0.105	Long Shot	0.145
511_1940	1	1437	war machinery	0.109	Long Shot	0.135
511_1940	1	1491	multiples	0.217	Long Shot	0.187
511_1940	1	1553	war machinery	0.15	Long Shot	0.151
511_1940	1	1554	war machinery	0.145	Long Shot	0.147
511_1940	1	1623	individual	0.223	Close-up	0.208
511_1940	1	1630	individual	0.224	Close-up	0.214
511_1940	1	1770	war machinery	0.153	Long Shot	0.151
511_1940	1	1808	multiples	0.23	Close-up	0.196
511_1940	1	1835	multiples	0.202	Close-up	0.199
511_1940	1	1918	collective	0.174	Long Shot	0.146
511_1940	1	1919	war machinery	0.147	Long Shot	0.146
511_1940	1	2080	war machinery	0.152	Close-up	0.19
511_1940	1	2087	war machinery	0.149	Close-up	0.191
511_1940	1	2094	multiples	0.174	Long Shot	0.18
511_1940	1	2130	collective	0.183	Long Shot	0.171
511_1940	1	2136	war machinery	0.152	Long Shot	0.182
511_1940	1	2157	collective	0.17	Long Shot	0.171
511_1940	1	2201	war machinery	0.168	Close-up	0.221
511_1940	1	2205	war machinery	0.172	Close-up	0.207
511_1940	1	2276	war machinery	0.158	Close-up	0.188
511_1940	1	2361	individual	0.17	Close-up	0.221
511_1940	1	3183	collective	0.207	Long Shot	0.18
511_1940	2	4158	war machinery	0.151	Long Shot	0.196
511_1940	2	4522	war machinery	0.162	Long Shot	0.181
511_1940	2	4707	multiples	0.155	Long Shot	0.19
511_1940	2	4892	collective	0.203	Long Shot	0.218
511_1940	2	5062	war machinery	0.221	Long Shot	0.187
511_1940	2	5162	war machinery	0.201	Long Shot	0.211
511_1940	2	5236	individual	0.238	Close-up	0.193
511_1940	2	5330	war machinery	0.201	Long Shot	0.198
511_1940	2	5453	collective	0.245	Long Shot	0.216
511_1940	2	5587	multiples	0.244	Long Shot	0.199
511_1940	2	5703	multiples	0.214	Long Shot	0.203
511_1940	3	5848	multiples	0.208	Long Shot	0.209
511_1940	3	6009	war machinery	0.146	Long Shot	0.19
511_1940	3	6108	multiples	0.248	Long Shot	0.189
511_1940	3	6203	multiples	0.212	Long Shot	0.216
511_1940	3	6311	war machinery	0.153	Long Shot	0.184
511_1940	3	6433	civilians	0.179	Long Shot	0.193
511_1940	3	6564	civilians	0.172	Long Shot	0.188
511_1940	3	6682	civilians	0.159	Long Shot	0.207
511_1940	3	6846	collective	0.21	Long Shot	0.199
511_1940	4	7803	collective	0.219	Long Shot	0.177
511_1940	4	7923	collective	0.212	Long Shot	0.181
511_1940	4	8041	collective	0.236	Long Shot	0.186
511_1940	4	8143	multiples	0.22	Long Shot	0.215
511_1940	4	8211	war machinery	0.179	Long Shot	0.201
511_1940	4	8309	civilians	0.154	Long Shot	0.217
511_1940	4	8418	multiples	0.204	Long Shot	0.192
511_1940	4	8527	war machinery	0.154	Long Shot	0.189
511_1940	4	8704	multiples	0.211	Long Shot	0.222
511_1940	4	8861	multiples	0.239	Long Shot	0.18
511_1940	4	8971	war machinery	0.177	Long Shot	0.183
511_1940	4	9071	multiples	0.223	Long Shot	0.208
511_1940	4	9137	multiples	0.156	Long Shot	0.198
511_1940	4	9202	multiples	0.233	Long Shot	0.192
511_1940	4	9293	civilians	0.179	Long Shot	0.201
511_1940	4	9405	war machinery	0.187	Long Shot	0.167
511_1940	4	9491	multiples	0.224	Long Shot	0.202
511_1940	4	9640	civilians	0.142	Long Shot	0.187
511_1940	4	9778	multiples	0.188	Long Shot	0.197
511_1940	4	9890	war machinery	0.19	Long Shot	0.189
511_1940	4	9998	multiples	0.215	Long Shot	0.195
511_1940	4	10139	multiples	0.209	Long Shot	0.183
511_1940	4	10425	war machinery	0.195	Long Shot	0.182
511_1940	4	10636	war machinery	0.191	Long Shot	0.172
511_1940	4	10713	war machinery	0.186	Close-up	0.196
511_1940	4	10837	multiples	0.217	Long Shot	0.192
511_1940	4	10989	war machinery	0.188	Long Shot	0.212
511_1940	4	11107	collective	0.184	Long Shot	0.204
511_1940	4	11228	multiples	0.24	Long Shot	0.182
511_1940	4	11335	war machinery	0.132	Long Shot	0.172
511_1940	4	11421	collective	0.239	Long Shot	0.216
511_1940	4	11552	multiples	0.202	Long Shot	0.189
511_1940	4	11703	collective	0.233	Long Shot	0.192
511_1940	4	12032	collective	0.268	Long Shot	0.208
511_1940	4	12447	collective	0.238	Long Shot	0.203
511_1940	4	12686	multiples	0.19	Long Shot	0.211
511_1940	4	12824	multiples	0.23	Long Shot	0.195
511_1940	4	12921	multiples	0.209	Long Shot	0.21
511_1940	4	13099	war machinery	0.184	Long Shot	0.2
511_1940	4	13281	multiples	0.226	Long Shot	0.205
511_1940	4	13383	collective	0.248	Long Shot	0.184
511_1940	4	13465	individual	0.22	Close-up	0.204
511_1940	5	14101	multiples	0.223	Long Shot	0.205
511_1940	5	14208	multiples	0.222	Long Shot	0.203
511_1940	5	14334	multiples	0.232	Long Shot	0.194
511_1940	5	14445	civilians	0.169	Long Shot	0.201
511_1940	5	14593	multiples	0.174	Long Shot	0.198
511_1940	5	14742	multiples	0.198	Long Shot	0.211
511_1940	5	14845	war machinery	0.19	Long Shot	0.196
511_1940	5	14929	collective	0.22	Long Shot	0.196
511_1940	5	15008	collective	0.212	Long Shot	0.203
511_1940	5	15098	war machinery	0.179	Long Shot	0.214
511_1940	6	15558	collective	0.208	Long Shot	0.198
511_1940	6	15724	multiples	0.197	Long Shot	0.189
511_1940	6	15842	multiples	0.223	Long Shot	0.182
511_1940	6	15979	multiples	0.227	Long Shot	0.186
511_1940	7	16629	multiples	0.202	Long Shot	0.208
511_1940	7	16742	war machinery	0.2	Long Shot	0.179
511_1940	7	16905	multiples	0.217	Long Shot	0.214
511_1940	7	17055	multiples	0.238	Long Shot	0.179
511_1940	7	17204	multiples	0.227	Long Shot	0.203
511_1940	7	17370	war machinery	0.204	Long Shot	0.192
511_1940	7	17479	war machinery	0.185	Long Shot	0.217
511_1940	7	17574	collective	0.205	Long Shot	0.189
511_1940	7	17677	war machinery	0.135	Long Shot	0.165
511_1940	7	17787	multiples	0.216	Long Shot	0.214
511_1940	7	17949	collective	0.177	Long Shot	0.224
511_1940	7	18179	collective	0.216	Long Shot	0.211
511_1940	8	19021	civilians	0.162	Long Shot	0.203
511_1940	8	19136	collective	0.212	Long Shot	0.211
511_1940	8	19239	landscape	0.158	Long Shot	0.202
511_1940	8	19392	war machinery	0.165	Long Shot	0.169
511_1940	8	19518	war machinery	0.159	Long Shot	0.202
511_1940	8	19542	war machinery	0.175	Long Shot	0.2
511_1940	8	19570	war machinery	0.166	Long Shot	0.189
511_1940	8	19619	war machinery	0.153	Long Shot	0.163
511_1940	8	19683	war machinery	0.151	Long Shot	0.181
511_1940	8	19748	war machinery	0.172	Long Shot	0.207
511_1940	8	19845	multiples	0.242	Close-up	0.194
511_1940	8	19966	multiples	0.217	Long Shot	0.189
511_1940	8	20179	civilians	0.141	Long Shot	0.179
511_1940	8	20364	multiples	0.231	Long Shot	0.206
511_1940	8	20415	multiples	0.202	Long Shot	0.203
511_1940	8	20471	war machinery	0.162	Long Shot	0.205
511_1940	8	20523	war machinery	0.213	Close-up	0.219
511_1940	8	20600	war machinery	0.198	Long Shot	0.22
511_1940	8	20714	civilians	0.146	Long Shot	0.178
511_1940	8	20861	landscape	0.148	Long Shot	0.193
511_1940	8	20987	landscape	0.179	Long Shot	0.227
511_1940	8	21105	civilians	0.146	Long Shot	0.191
511_1940	8	21239	civilians	0.161	Long Shot	0.19
511_1940	8	21369	war machinery	0.181	Long Shot	0.195
511_1940	8	21542	war machinery	0.143	Long Shot	0.186
511_1940	8	21715	war machinery	0.173	Long Shot	0.163
511_1940	8	21867	civilians	0.161	Long Shot	0.173
511_1940	8	22015	civilians	0.161	Long Shot	0.191
511_1940	8	22143	civilians	0.174	Long Shot	0.205
511_1940	8	22271	civilians	0.164	Long Shot	0.206
511_1940	8	22383	civilians	0.177	Long Shot	0.203
511_1940	8	22503	civilians	0.162	Long Shot	0.199
511_1940	8	22623	multiples	0.204	Long Shot	0.203
511_1940	8	22845	civilians	0.163	Long Shot	0.19
511_1940	8	23077	collective	0.204	Long Shot	0.201
511_1940	8	23180	multiples	0.164	Long Shot	0.208
511_1940	8	23301	multiples	0.222	Long Shot	0.207
511_1940	8	23527	collective	0.163	Long Shot	0.198
