start	end	text	start_mm:ss	end_mm:ss
47470	52370	vierten Jahrestag der Befreiung Madrids von der bolschewistischen Blutherrschaft fand in der	00:47	00:52
52370	88620	spanischen Hauptstadt eine große Parade statt. Der Cordillio grüßt seine Truppen, Glied der	00:52	01:28
88620	99080	spanischen blauen Division, die an einem Brennpunkt der nördlichen Ostfront eingesetzt ist. Zusammenkunft	01:28	01:39
99080	121380	des Führers mit dem Duce in Salzburg. Der Reichsminister des Auswärtigen von Ribbentrop	01:39	02:01
121380	125800	und der italienische Außenminister Graf Czarno, die beide an den politischen Besprechungen teilnahmen.	02:01	02:05
125800	130960	Der Chef des Oberkommandos der Wehrmacht, Generalfeldmarschall Keitel und Generaloberstgraf	02:05	02:10
130960	185440	Cavallero, der Chef des italienischen Wehrmachtsgeneralstabes. Auf dem Berghof, rechts Generalfeldmarschall	02:10	03:05
185440	200620	Kesselring. Die Besprechungen zwischen den beiden Regierungschefs waren getragen von dem Geiste	03:05	03:20
200620	206400	der engen Freundschaft und unlösbaren Waffenbrüderschaft der beiden Völker und ihrer Führer. Sie ergaben	03:20	03:26
206400	210820	die völlige Übereinstimmung der Auffassungen über die durch die überwältigenden Siege der	03:26	03:30
210820	215260	Dreierfaktmächte geschaffenen Lage und über die weitere Kriegführung der beiden Nationen	03:30	03:35
215260	220200	auf politischem und militärischem Gebiet. Die harte Entschlossenheit Deutschlands, Italiens	03:35	03:40
220200	224700	und ihrer Verbündeten, den endgültigen Sieg mit allen ihnen zur Verfügung stehenden	03:40	03:44
224700	230620	Machtmitteln sicherzustellen, kam dabei erneut zum Ausdruck. General Jodel erklärt die militärische	03:44	03:50
230620	326990	Lage. Das war die zwölfte Zusammenkunft zwischen dem Duce und dem Führer. Alles arbeitet für	03:50	05:26
326990	332150	den Sieg. In den deutschen Waffenschmieden stehen die Räder nicht mehr still. Rüstungsarbeiter	05:26	05:32
332150	337310	und Arbeiterinnen sichern unter Einsatz ihrer ganzen Kraft den riesigen Bedarf der Front an	05:32	05:37
337310	344050	Waffen und Munition. Zum nationalen Feiertag des deutschen Volkes erklärte der Führer in seiner	05:37	05:44
344050	350690	Botschaft an die Werktätigen. Die Heimat hat sich durch ihren Fleiß und Opfersinn sowie durch die	05:44	05:50
350690	356450	vorbildliche Haltung, die sie auch in kritischen Lagen immer wieder bewiesen hat, des Heldentums	05:50	05:56
356450	362630	unserer Soldaten würdig erwiesen. Der Krieg, den wir zu führen gezwungen worden sind, ist für	05:56	06:02
362630	369450	unser Volk ein Kampf um sein oder nicht sein. Der Sieg, den wir erringen werden, soll deshalb auch	06:02	06:09
369450	376650	ein Sieg des ganzen Volkes sein. Ich weiß, dass dabei die deutsche Heimat und insbesondere alle ihre	06:09	06:16
376650	404650	arbeitenden Männer und Frauen den Soldaten an der Front niemals im Stich lassen werden. Am nationalen	06:16	06:44
404650	409850	Feiertag des deutschen Volkes fand im Mosaiksaal der neuen Reichskanzlei eine feierliche Tagung der	06:44	06:49
409850	415730	Reichsarbeitskammer statt. Dr. Lai spricht. In seiner Rede wies er auf die übermenschlichen Leistungen	06:49	06:55
415730	421470	unseres Ostteeres hin und rief die Heimat, das werktätige Volk, die Betriebe und alle deutschen	06:55	07:01
421470	426630	Menschen auf diesem Beispiel nachzueifern. Im Mittelpunkt stand die Ehrung verdienter Führer	07:01	07:06
426630	431990	der deutschen Wirtschaft und Industrie. Zu Pionieren der Arbeit wurden ernannt Reichswirtschaftsminister und	07:06	07:11
431990	436830	Reichsbankpräsident Walter Funk, Ferner, der Schöpfer der in vielen Einsätzen hervorragend	07:11	07:16
436830	443230	bewährten Heinkel-Flugzeuge, Prof. Dr. Ernst Heinkel und Prof. Dr. Ferdinand Porsche, der	07:16	07:23
443230	448550	Konstrukteur des in der Kälte des Ostens wie in der Hitze Afrikas besonders bewährten Volkswagens.	07:23	07:28
449870	454630	Eine Reihe von deutschen Betrieben wurde die Auszeichnung Kriegsmusterbetrieb verliehen. Sie	07:29	07:34
454630	473580	haben das Recht, in ihrer Fahne das Kriegsverdienstkreuz zu führen. An der Ostfront, an allen Abschnitten	07:34	07:53
473580	496400	herrscht jetzt Tauwetter. Die Schneeschmelze hat das Land weithin überschwemmt. Unsere Soldaten	07:53	08:16
496400	511320	bauen zusammen mit der Bevölkerung behelfsmäßige Übergänge. Schlitten und Ski haben ausgedient.	08:16	08:31
511560	543950	Sie werden zur Einlagerung abgeliefert. Eine Kompanie wird entlaust. Mit Humor geht es noch	08:31	09:03
543950	564220	mal so gut. Haargenaue Untersuchung. Hier werden Uniformen und Wäsche zur Entlausung abgegeben.	09:03	09:24
564220	577140	Die Stiefel werden in einem Laugebad von Ungeziefer befreit. Ärztliche Untersuchung.	09:24	09:37
581180	591970	Zum Schluss ein frisches Bad. Garantiert läusefrei.	09:41	09:51
594630	619660	Man fühlt sich wie neu geboren. In Ruhestellung. Ein Marschkompass als Rasierspiegel.	09:54	10:19
619660	646720	Nun ist auch wieder mal Ruhe für einen Brief in die Heimat. Jetzt haben wir den harten Winter	10:19	10:46
646720	663260	überstanden. Eine Waffenmeisterei dicht hinter der Front. Nach den langen erbitterten Abwehrkämpfen	10:46	11:03
663260	688950	werden die Waffen gründlich instand gesetzt. Eine fahrbare Werkstatt für Kraftfahrzeuge.	11:03	11:28
688950	705470	Sie ist mit allen notwendigen Maschinen und Geräten ausgerüstet. Auch die Panzerkampfwagen	11:28	11:45
705470	734650	werden jetzt gründlich überholt. Eine Panzerabteilung bereit zu neuem Einsatz.	11:45	12:14
736850	771480	Befehlsausgabe. Der Kommandeur in seinem Befehlspanzer. Über völlig aufgeweichte Straßen und Felder	12:16	12:51
771480	783440	rollen die Panzerkampfwagen nach vorn. Kameradschaftliche Hilfe. Gebirgsjäger werden im Schlepp mitgenommen.	12:51	13:03
783440	796360	Wo Brücken und andere feste Übergänge fehlen, werden auch Sturmbote als Fähren eingesetzt.	13:03	13:16
824550	829290	Hier haben sich Artilleristen eine Seilbahn für den Mannschafts- und Munitionstransport gebaut.	13:44	13:49
849800	869950	Die Stadt Orel südlich von Moskau ist zum Teil überschwemmt. Hier kann der Verkehr nur noch mit	14:09	14:29
869950	890630	Kähnen oder Flößen aufrechterhalten werden. Auf einigen Straßen haben sich wahre Sturzbäche	14:29	14:50
890630	918530	gebildet. Unsere Lanzer wissen jede Lage auszunutzen. Wo der Morast zu tief ist, werden	14:50	15:18
918530	1002560	Notstege gebaut. Ein Kraftwagen auf Schienen bringt Nachschub heran. Das in den schweren	15:18	16:42
1002560	1011040	Abwehrkämpfen dieses Winters stärkstens beanspruchte Material muss überall ergänzt werden. Hier wird	16:42	16:51
1011040	1067660	Munition verladen. Eine Kleinbahn übernimmt den Weitertransport. Auf dem Marsch nach vorn. So sehen	16:51	17:47
1067660	1073260	jetzt Straßen und Wege im Arbeiter- und Bauernparadies aus. Hier hat es der Nachschub besonders schwer.	17:47	17:53
1090600	1117330	Nur Meisterfahrer werden mit diesen Straßen und Wegen fertig. Sags mit Humor. Die Raupenfahrzeuge	18:10	18:37
1117330	1122070	haben sich an der Ostfront hervorragend bewährt. Sie sind in solchen Fällen oft die letzte Rettung.	18:37	18:42
1151900	1194100	Ein besonders schwieriger Fall. Aber selbst hier hilft der Raupenschlepper mit Erfolg. Im Valdei-Gebiet.	19:11	19:54
1194100	1199560	Das Gelände ist versumpft und verschlampt. Nur unter größten Schwierigkeiten geht es vorwärts.	19:54	19:59
1200700	1227290	Mensch und Tier haben härteste Strapazen zu bestehen. Auch hier erweist sich das Pferd immer	20:00	20:27
1227290	1232370	wieder als treuer Helfer. Trotz der Motorisierung ist es unentbehrlich geblieben.	20:27	20:32
1232370	1293210	Eine Munitionskolonne der Waffen-SS. Hier tobten schwere Kämpfe. Artilleriefeuer hat die Bäume	20:32	21:33
1293210	1343020	völlig zerfetzt. In einer Batteriestellung. Artillerie bereitet ein Stoßtruppunternehmen	21:33	22:23
1343020	1386120	vor. Feindliche Einschläge. Eine Ortschaft, von der aus die Sowjets unsere Flanke bedrohen muss genommen werden. Der Angriff führt durch Schlamm und Morast. Unter dem Feuer unserer schweren	22:23	23:06
1386120	1405990	Waffen haben sich die Sowjets zurückgezogen. Die Ortschaft steht in hellen Flammen. Am	23:06	23:25
