episode	year	filestem	length	fps	frames	title	url_bundesarchiv	keywords	has_transcription	has_chapters
511	1940	511_1940	2564.0	25.0	64123.0	Die Deutsche Wochenschau Nr. 511 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/16367	Verunglimpfung Nachtangriff Panzerspähwagen Renault FT-17 Flugabwehrartillerie Luftschiff Kraftstofftank Eisenbahngeschütz Flugabwehrgeschütz Ferngeschütz Westfeldzug / 1940 Panzer III Transportschiff Kolonialtruppe Ju 87 Panzerkampfwagen II Panzerkampfwagen 38 Minenabwehr Luftwaffe Luftangriff Lebensmittelversorgung Haubitze Infanteriegeschütz He 111 Kampfeinsatz MG 34 Panzerabwehrkanone	True	True
512	1940	512_1940	2693.0	24.0	64652.0	Die Deutsche Wochenschau Nr. 512 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/8924	Verunglimpfung Seemine Flugzeugabschuss Granatwerfer Feldhaubitze Artillerie Pionier / Militär Luftkampf Weserübung Mörser Kreuzer Friedensvertrag Flugabwehrgeschütz Westfeldzug / 1940 Panzer III Transportschiff Führerhauptquartier Ju 87 Panzerkampfwagen II Flammenwerfer Eisernes Kreuz Zweiter Weltkrieg Waffenstillstand / Frankreich / Deutschland / Geschichte 1940 Luftwaffe Schiffsversenkung Zerstörer Seegefecht Glorious / Schiff Aufklärungsflugzeug Gneisenau / Schiff, 1936-1945 Bf 109 Atlantikkrieg / 1940-1945 He 111 Drittes Reich Kampfeinsatz MG 34 Ju 52/3m Panzerabwehrkanone Scharnhorst / Schiff, 1936-1943 Sturmgeschütz Lazarett Ar 196	True	True
513	1940	513_1940	1630.0	24.0	39121.0	Die Deutsche Wochenschau Nr. 513 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/16447	Verunglimpfung Französischer Kriegsgefangener Panzerspähwagen Kriegszerstörung Belgischer Flüchtling Kriegsschaden Deutscher Kriegsgefangener Kreuzer Kriegsgefangenenlager unbekannt Flugabwehrgeschütz Westfeldzug / 1940 Kolonialtruppe Ju 87 Panzerkampfwagen II Zweiter Weltkrieg Luftwaffe Wasserflugzeug Brückenbau Belehrung Zerstörer Unterseeboot Zeitungsdruck Luftangriff Pionier Französischer Flüchtling Drittes Reich Bombe Kampfeinsatz Seekrieg Luftschlacht um England MG 34 Ju 52/3m Schnellboot	True	True
514	1940	514_1940	2143.0	25.0	53586.0	Die Deutsche Wochenschau Nr. 514 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/8927	Zweiter Weltkrieg Waffenstillstand / Frankreich / Deutschland / Geschichte 1940 Kriegsbeute Luftwaffe Renault FT-17 Belehrung Kriegszerstörung Luftangriff Kriegsopfer Sender Kraftstofftank Drittes Reich Eisenbahngeschütz Westfeldzug / 1940 Luftschutz Rundfunk Militärkapelle Flüchtling Lazarett	True	True
515	1940	515_1940	1658.0	24.0	39800.0	Die Deutsche Wochenschau Nr. 515 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/16380	Sanitäter Panzer Kriegsbeute Kradschützentruppe U 47 Artillerie Parade Weserübung Krankenschwester unbekannt Auszeichnung Staatsbesuch Empfang / Veranstaltung Eisernes Kreuz Militärmarsch Afrikafeldzug / 1940-1943 Wilhelm Gustloff / Schiff Panzerkampfwagen IV Schiffsversenkung Kraftstoffverbrauch Belehrung Zerstörer Unterseeboot Kriegsopfer Vergeltung Landung in Narvik Atlantikkrieg / 1940-1945 Drittes Reich Aufruf Ju 52/3m Panzertruppe	True	True
516	1940	516_1940	529.0	25.0	13237.0	Die Deutsche Wochenschau Nr. 516 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/16444	Kradschützentruppe Seemine Kriegsschiff Artillerie Merzig / Saar, Motiv Deutscher Kriegsgefangener Flugabwehrgeschütz Kasematte Flammenwerfer Zweiter Weltkrieg Militärmarsch Afrikafeldzug / 1940-1943 Feuerwehr Luftwaffe Steinbruch Zwangsarbeit Belehrung Siegesparade Seegefecht Haubitze Hafen Bombenflugzeug Drittes Reich Ablösung Maschinengewehr Panzerabwehrkanone	True	True
517	1940	517_1940	1920.0	24.0	46091.0	Die Deutsche Wochenschau Nr. 517 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/8929	Galopprennen Frachtschiff Torpedoboot Pionier / Militär Heilbad Kreuzer unbekannt Fahrzeugindustrie Staatsbesuch Seenotrettung Punta Stilo / Seeschlacht Schuhmacher Zweiter Weltkrieg Straßenbau He 59 Luftwaffe Wasserflugzeug Brückenbau Belehrung Luftkrieg Zerstörer Unterseeboot Typ VII Minenräumung Kriegsopfer He 111 Drittes Reich Seekrieg Schnellboot	True	True
518	1940	518_1940	1866.0	24.0	44801.0	Die Deutsche Wochenschau Nr. 518 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/6557	Seiltänzer Erntehelfer Plastik Französischer Kriegsgefangener Kriegsbeute Rüstung Kriegszerstörung Tiger Ritterkreuz des Eisernen Kreuzes Fieseler-Storch Bf 110 Auszeichnung Panzer III Panzerbau Ju 87 Eisernes Kreuz Betriebssport Militärmarsch Luftwaffe Belehrung Unterseeboot Luftangriff Aufklärungsflugzeug Bf 109 Kriegerische Besetzung He 111 Drittes Reich Marsch / Musik Zirkus Elefanten Luftschlacht um England Ausgleichssport	True	True
519	1940	519_1940	1671.0	24.0	40117.0	Die Deutsche Wochenschau Nr. 519 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/6558	Eagle / Schiff, 1936- Kradschützentruppe Hindernislauf Militärausbildung Matrose Kabelherstellung Kreuzer Propagandakompanie Segelschifffahrt Auszeichnung Transportschiff Ju 87 Eisernes Kreuz Geleitzug Zweiter Weltkrieg Jugendhilfe Luftwaffe Speerwurf Schiffsversenkung Belehrung Zerstörer Hammerwurf Seegefecht Heimkehrer Atlantikkrieg / 1940-1945 He 111 Drittes Reich Dreisprung Schnellboot	True	True
520	1940	520_1940	1926.0	24.0	46240.0	Die Deutsche Wochenschau Nr. 520 / 1940	https://digitaler-lesesaal.bundesarchiv.de/video/6559	Chemische Industrie Kriegsbeute Düngemittel Do 17 Rüstung Kriegsschaden Luftschutzwart Artillerie Radsport Verschrottung Eisenbahngeschütz Flugabwehrgeschütz Brandbombe Luftschutz Transportschiff Ju 87 Leichter Panzer Freizeitgestaltung Panzerschnellbrücke Zweiter Weltkrieg Salzlösung Schutzraumbau Afrikafeldzug / 1940-1943 Luftwaffe Brandbekämpfung Wasserflugzeug Kanusport Belehrung Unterseeboot Luftangriff Munitionsindustrie Bombenflugzeug He 111 Drittes Reich Luftschlacht um England Lazarett	True	True
